Measuring Tool:  OSMS face-up 
Mirror Designation:  COSMIC-U M2 PreMirror
File Location:  D:\ALS-U\COSMIC\COSMIC_M2premirror\DataAndAnalysis\COSMIC-U_M2_IntegratedHeight.dat
Processing Date:  Tue 28 Apr 2026 10:52:05
MirrorLength =  310. mm
Number of data:  1551
Original Data:  *\ScanDataFiles\OSMS face-up \
Measurement Date:  
History:   
History:   
History:  HistoryC 

Data Type:  Height
Step size:  0.2
X unit:  mm
Z unit:  nm
Specified Peak to Valley in microrad:  
Specified Root Mean Square in microrad:  1.1 nm rms
Specified Clear Aperture in mm:  310




Source to mirror center in meters:  
Center to focus in meters:  
Grazing Incidence Angle in radians:  
Normal Incidence Angle in degrees:  
Tangential Surface Shape:  Flat
Orientation:  Direct
Clear aperture first point number:  1
Clear Aperture last point number:  1551
Clear aperture center point number:  776
Face up or face down:  up










*Data starts.
-155.	-0.516658294429361
-154.8	-0.5930002229257229
-154.6	-0.5399780276906461
-154.4	-0.4482497495108284
-154.2	-0.3607556934222342
-154.	-0.28140828639204196
-153.8	-0.20949463844441196
-153.6	-0.14238824296831598
-153.4	-0.0796489746103955
-153.2	-0.01945934998120894
-153.	0.04150791323157943
-152.8	0.10679024651840628
-152.6	0.17810021630826373
-152.4	0.25164353465840983
-152.2	0.33086744142047403
-152.	0.41691722661859476
-151.8	0.5101366216887573
-151.6	0.609733069891388
-151.4	0.7132935905082977
-151.2	0.8200933949041933
-151.	0.9254580851644667
-150.8	1.031700881301382
-150.6	1.141329523517996
-150.4	1.2535775352783072
-150.2	1.3674283406823144
-150.	1.4809024526821137
-149.8	1.5941158593857598
-149.6	1.7071120576223642
-149.4	1.822201563119282
-149.2	1.938004313192831
-149.	2.0508739434179364
-148.8	2.1604979364565082
-148.6	2.270343201015687
-148.4	2.383661113151368
-148.2	2.4963313596874377
-148.	2.6075307822058775
-147.8	2.721825651539727
-147.6	2.8351914439324646
-147.4	2.9454555027009874
-147.2	3.0564895522416875
-147.	3.166559385794673
-146.8	3.2759628561891576
-146.6	3.386523782227777
-146.4	3.4952067271560545
-146.2	3.603007910526308
-146.	3.709524348608374
-145.8	3.8148234240126193
-145.6	3.919681406229895
-145.4	4.023657130549002
-145.2	4.129468521683508
-145.	4.234737556345408
-144.8	4.337842444171279
-144.6	4.443978670127852
-144.4	4.55476608293417
-144.2	4.664506422326469
-144.	4.775109752164523
-143.8	4.886883678056316
-143.6	4.996035809154366
-143.4	5.101947318911556
-143.2	5.206499346297282
-143.	5.31216837561194
-142.8	5.418672144923016
-142.6	5.528183491344558
-142.4	5.63562840017435
-142.2	5.740606950812429
-142.	5.8450504114063015
-141.8	5.944865426469643
-141.6	6.041577382791077
-141.4	6.13542495580465
-141.2	6.224722369226692
-141.	6.312236342155096
-140.8	6.399430449308442
-140.6	6.4868070598844865
-140.4	6.577120772497079
-140.2	6.670253658600049
-140.	6.763738547553565
-139.8	6.858939460818546
-139.6	6.957227035334136
-139.4	7.0541520373541955
-139.2	7.146929025944278
-139.	7.236553346999311
-138.8	7.325390859068592
-138.6	7.4128145464614565
-138.4	7.499212502426735
-138.2	7.587106968114905
-138.	7.675810404499439
-137.8	7.763825643138873
-137.6	7.852730823294904
-137.4	7.942404609671495
-137.2	8.028969500564035
-137.	8.113758103230838
-136.8	8.198595865082082
-136.6	8.28003010146868
-136.4	8.359895808000037
-136.2	8.440415818015994
-136.	8.519358132933792
-135.8	8.60056646144594
